frame	time	task	case
case_000_video_part_001/00004320.png	72.0	7	case_000
case_000_video_part_001/00004380.png	73.0	7	case_000
case_000_video_part_001/00004440.png	74.0	7	case_000
case_000_video_part_001/00004500.png	75.0	7	case_000
case_000_video_part_001/00004560.png	76.0	7	case_000
case_000_video_part_001/00004620.png	77.0	7	case_000
case_000_video_part_001/00004680.png	78.0	7	case_000
case_000_video_part_001/00004740.png	79.0	7	case_000
case_000_video_part_001/00004800.png	80.0	7	case_000
case_000_video_part_001/00004860.png	81.0	7	case_000
case_000_video_part_001/00004920.png	82.0	7	case_000
case_000_video_part_001/00004980.png	83.0	7	case_000
case_000_video_part_001/00005040.png	84.0	7	case_000
case_000_video_part_001/00005100.png	85.0	7	case_000
case_000_video_part_001/00005160.png	86.0	7	case_000
case_000_video_part_001/00005220.png	87.0	7	case_000
case_000_video_part_001/00005280.png	88.0	7	case_000
case_000_video_part_001/00005340.png	89.0	7	case_000
case_000_video_part_001/00005400.png	90.0	7	case_000
case_000_video_part_001/00005460.png	91.0	7	case_000
case_000_video_part_001/00005520.png	92.0	7	case_000
case_000_video_part_001/00005580.png	93.0	7	case_000
case_000_video_part_001/00005640.png	94.0	7	case_000
case_000_video_part_001/00005700.png	95.0	7	case_000
case_000_video_part_001/00005760.png	96.0	7	case_000
case_000_video_part_001/00005820.png	97.0	7	case_000
case_000_video_part_001/00005880.png	98.0	7	case_000
case_000_video_part_001/00005940.png	99.0	7	case_000
case_000_video_part_001/00006000.png	100.0	7	case_000
case_000_video_part_001/00006060.png	101.0	7	case_000
case_000_video_part_001/00006120.png	102.0	7	case_000
case_000_video_part_001/00006180.png	103.0	7	case_000
case_000_video_part_001/00006240.png	104.0	7	case_000
case_000_video_part_001/00006300.png	105.0	7	case_000
case_000_video_part_001/00006360.png	106.0	7	case_000
case_000_video_part_001/00006420.png	107.0	7	case_000
case_000_video_part_001/00006480.png	108.0	7	case_000
case_000_video_part_001/00006540.png	109.0	7	case_000
case_000_video_part_001/00006600.png	110.0	7	case_000
case_000_video_part_001/00006660.png	111.0	7	case_000
case_000_video_part_001/00006720.png	112.0	7	case_000
case_000_video_part_001/00006780.png	113.0	7	case_000
case_000_video_part_001/00006840.png	114.0	7	case_000
case_000_video_part_001/00006900.png	115.0	7	case_000
case_000_video_part_001/00006960.png	116.0	7	case_000
case_000_video_part_001/00007020.png	117.0	7	case_000
case_000_video_part_001/00007080.png	118.0	7	case_000
case_000_video_part_001/00007140.png	119.0	7	case_000
case_000_video_part_001/00007200.png	120.0	7	case_000
case_000_video_part_001/00007260.png	121.0	7	case_000
case_000_video_part_001/00007320.png	122.0	7	case_000
case_000_video_part_001/00007380.png	123.0	7	case_000
case_000_video_part_001/00007440.png	124.0	7	case_000
case_000_video_part_001/00007500.png	125.0	7	case_000
case_000_video_part_001/00007560.png	126.0	7	case_000
case_000_video_part_001/00007620.png	127.0	7	case_000
case_000_video_part_001/00007680.png	128.0	7	case_000
case_000_video_part_001/00007740.png	129.0	7	case_000
case_000_video_part_001/00007800.png	130.0	7	case_000
case_000_video_part_001/00007860.png	131.0	7	case_000
case_000_video_part_001/00007920.png	132.0	7	case_000
case_000_video_part_001/00007980.png	133.0	7	case_000
case_000_video_part_001/00008040.png	134.0	7	case_000
case_000_video_part_001/00008100.png	135.0	7	case_000
case_000_video_part_001/00008160.png	136.0	7	case_000
case_000_video_part_001/00008220.png	137.0	7	case_000
case_000_video_part_001/00008280.png	138.0	7	case_000
case_000_video_part_001/00008340.png	139.0	7	case_000
case_000_video_part_001/00008400.png	140.0	7	case_000
case_000_video_part_001/00008460.png	141.0	7	case_000
case_000_video_part_001/00008520.png	142.0	7	case_000
case_000_video_part_001/00008580.png	143.0	7	case_000
case_000_video_part_001/00008640.png	144.0	7	case_000
case_000_video_part_001/00008700.png	145.0	7	case_000
case_000_video_part_001/00008760.png	146.0	7	case_000
case_000_video_part_001/00008820.png	147.0	7	case_000
case_000_video_part_001/00008880.png	148.0	7	case_000
case_000_video_part_001/00008940.png	149.0	7	case_000
case_000_video_part_001/00009000.png	150.0	7	case_000
case_000_video_part_001/00009060.png	151.0	7	case_000
case_000_video_part_001/00009120.png	152.0	7	case_000
case_000_video_part_001/00009180.png	153.0	7	case_000
case_000_video_part_001/00009240.png	154.0	7	case_000
case_000_video_part_001/00009300.png	155.0	7	case_000
case_000_video_part_001/00009360.png	156.0	7	case_000
case_000_video_part_001/00009420.png	157.0	7	case_000
case_000_video_part_001/00009480.png	158.0	7	case_000
case_000_video_part_001/00009540.png	159.0	7	case_000
case_000_video_part_001/00009600.png	160.0	7	case_000
case_000_video_part_001/00009660.png	161.0	7	case_000
case_000_video_part_001/00009720.png	162.0	7	case_000
case_000_video_part_001/00009780.png	163.0	7	case_000
case_000_video_part_001/00009840.png	164.0	7	case_000
case_000_video_part_001/00009900.png	165.0	7	case_000
case_000_video_part_001/00009960.png	166.0	7	case_000
case_000_video_part_001/00010020.png	167.0	7	case_000
case_000_video_part_001/00010080.png	168.0	7	case_000
case_000_video_part_001/00010140.png	169.0	7	case_000
case_000_video_part_001/00010200.png	170.0	7	case_000
case_000_video_part_001/00010260.png	171.0	7	case_000
case_000_video_part_001/00010320.png	172.0	7	case_000
case_000_video_part_001/00010380.png	173.0	7	case_000
case_000_video_part_001/00010440.png	174.0	7	case_000
case_000_video_part_001/00010500.png	175.0	7	case_000
case_000_video_part_001/00010560.png	176.0	7	case_000
case_000_video_part_001/00010620.png	177.0	7	case_000
case_000_video_part_001/00010680.png	178.0	7	case_000
case_000_video_part_001/00010740.png	179.0	7	case_000
case_000_video_part_001/00010800.png	180.0	7	case_000
case_000_video_part_001/00010860.png	181.0	7	case_000
case_000_video_part_001/00010920.png	182.0	7	case_000
case_000_video_part_001/00010980.png	183.0	7	case_000
case_000_video_part_001/00011040.png	184.0	7	case_000
case_000_video_part_001/00011100.png	185.0	7	case_000
case_000_video_part_001/00011160.png	186.0	7	case_000
case_000_video_part_001/00011220.png	187.0	7	case_000
case_000_video_part_001/00011280.png	188.0	7	case_000
case_000_video_part_001/00011340.png	189.0	7	case_000
case_000_video_part_001/00011400.png	190.0	7	case_000
case_000_video_part_001/00011460.png	191.0	7	case_000
case_000_video_part_001/00011520.png	192.0	7	case_000
case_000_video_part_001/00011580.png	193.0	7	case_000
case_000_video_part_001/00011640.png	194.0	7	case_000
case_000_video_part_001/00011700.png	195.0	7	case_000
case_000_video_part_001/00011760.png	196.0	7	case_000
case_000_video_part_001/00011820.png	197.0	7	case_000
case_000_video_part_001/00011880.png	198.0	7	case_000
case_000_video_part_001/00011940.png	199.0	7	case_000
case_000_video_part_001/00012000.png	200.0	7	case_000
case_000_video_part_001/00012060.png	201.0	7	case_000
case_000_video_part_001/00012120.png	202.0	7	case_000
case_000_video_part_001/00012180.png	203.0	7	case_000
case_000_video_part_001/00012240.png	204.0	7	case_000
case_000_video_part_001/00012300.png	205.0	7	case_000
case_000_video_part_001/00012360.png	206.0	7	case_000
case_000_video_part_001/00012420.png	207.0	7	case_000
case_000_video_part_001/00012480.png	208.0	7	case_000
case_000_video_part_001/00012540.png	209.0	7	case_000
case_000_video_part_001/00012600.png	210.0	7	case_000
case_000_video_part_001/00012660.png	211.0	7	case_000
case_000_video_part_001/00012720.png	212.0	7	case_000
case_000_video_part_001/00012780.png	213.0	7	case_000
case_000_video_part_001/00012840.png	214.0	7	case_000
case_000_video_part_001/00012900.png	215.0	7	case_000
case_000_video_part_001/00012960.png	216.0	7	case_000
case_000_video_part_001/00013020.png	217.0	7	case_000
case_000_video_part_001/00013080.png	218.0	7	case_000
case_000_video_part_001/00013140.png	219.0	7	case_000
case_000_video_part_001/00013200.png	220.0	7	case_000
case_000_video_part_001/00013260.png	221.0	7	case_000
case_000_video_part_001/00013320.png	222.0	7	case_000
case_000_video_part_001/00013380.png	223.0	7	case_000
case_000_video_part_001/00013440.png	224.0	7	case_000
case_000_video_part_001/00013500.png	225.0	7	case_000
case_000_video_part_001/00013560.png	226.0	7	case_000
case_000_video_part_001/00013620.png	227.0	7	case_000
case_000_video_part_001/00013680.png	228.0	7	case_000
case_000_video_part_001/00013740.png	229.0	7	case_000
case_000_video_part_001/00013800.png	230.0	7	case_000
case_000_video_part_001/00013860.png	231.0	7	case_000
case_000_video_part_001/00013920.png	232.0	7	case_000
case_000_video_part_001/00013980.png	233.0	7	case_000
case_000_video_part_001/00014040.png	234.0	7	case_000
case_000_video_part_001/00014100.png	235.0	7	case_000
case_000_video_part_001/00014160.png	236.0	7	case_000
case_000_video_part_001/00014220.png	237.0	7	case_000
case_000_video_part_001/00014280.png	238.0	7	case_000
case_000_video_part_001/00014340.png	239.0	7	case_000
case_000_video_part_001/00014400.png	240.0	7	case_000
case_000_video_part_001/00014460.png	241.0	7	case_000
case_000_video_part_001/00014520.png	242.0	7	case_000
case_000_video_part_001/00014580.png	243.0	7	case_000
case_000_video_part_001/00014640.png	244.0	7	case_000
case_000_video_part_001/00014700.png	245.0	7	case_000
case_000_video_part_001/00014760.png	246.0	7	case_000
case_000_video_part_001/00014820.png	247.0	7	case_000
case_000_video_part_001/00014880.png	248.0	7	case_000
case_000_video_part_001/00014940.png	249.0	7	case_000
case_000_video_part_001/00015000.png	250.0	7	case_000
case_000_video_part_001/00015060.png	251.0	7	case_000
case_000_video_part_001/00015120.png	252.0	7	case_000
case_000_video_part_001/00015180.png	253.0	7	case_000
case_000_video_part_001/00015240.png	254.0	7	case_000
case_000_video_part_001/00015300.png	255.0	7	case_000
case_000_video_part_001/00015360.png	256.0	7	case_000
case_000_video_part_001/00015420.png	257.0	7	case_000
case_000_video_part_001/00015480.png	258.0	7	case_000
case_000_video_part_001/00015540.png	259.0	7	case_000
case_000_video_part_001/00015600.png	260.0	7	case_000
case_000_video_part_001/00015660.png	261.0	7	case_000
case_000_video_part_001/00015720.png	262.0	7	case_000
case_000_video_part_001/00015780.png	263.0	7	case_000
case_000_video_part_001/00015840.png	264.0	7	case_000
case_000_video_part_001/00015900.png	265.0	7	case_000
case_000_video_part_001/00015960.png	266.0	7	case_000
case_000_video_part_001/00016020.png	267.0	7	case_000
case_000_video_part_001/00016080.png	268.0	7	case_000
case_000_video_part_001/00016140.png	269.0	7	case_000
case_000_video_part_001/00016200.png	270.0	7	case_000
case_000_video_part_001/00016260.png	271.0	7	case_000
case_000_video_part_001/00016320.png	272.0	7	case_000
case_000_video_part_001/00016380.png	273.0	7	case_000
case_000_video_part_001/00016440.png	274.0	7	case_000
case_000_video_part_001/00016500.png	275.0	7	case_000
case_000_video_part_001/00016560.png	276.0	7	case_000
case_000_video_part_001/00016620.png	277.0	7	case_000
case_000_video_part_001/00016680.png	278.0	7	case_000
case_000_video_part_001/00016740.png	279.0	7	case_000
case_000_video_part_001/00016800.png	280.0	7	case_000
case_000_video_part_001/00016860.png	281.0	7	case_000
case_000_video_part_001/00016920.png	282.0	7	case_000
case_000_video_part_001/00016980.png	283.0	7	case_000
case_000_video_part_001/00017040.png	284.0	7	case_000
case_000_video_part_001/00017100.png	285.0	7	case_000
case_000_video_part_001/00017160.png	286.0	7	case_000
case_000_video_part_001/00017220.png	287.0	7	case_000
case_000_video_part_001/00017280.png	288.0	7	case_000
case_000_video_part_001/00017340.png	289.0	7	case_000
case_000_video_part_001/00017400.png	290.0	7	case_000
case_000_video_part_001/00017460.png	291.0	7	case_000
case_000_video_part_001/00017520.png	292.0	7	case_000
case_000_video_part_001/00017580.png	293.0	7	case_000
case_000_video_part_001/00017640.png	294.0	7	case_000
case_000_video_part_001/00017700.png	295.0	7	case_000
case_000_video_part_001/00017760.png	296.0	7	case_000
case_000_video_part_001/00017820.png	297.0	7	case_000
case_000_video_part_001/00017880.png	298.0	7	case_000
case_000_video_part_001/00017940.png	299.0	7	case_000
case_000_video_part_001/00018000.png	300.0	7	case_000
case_000_video_part_001/00018060.png	301.0	7	case_000
case_000_video_part_001/00018120.png	302.0	7	case_000
case_000_video_part_001/00018180.png	303.0	7	case_000
case_000_video_part_001/00018240.png	304.0	7	case_000
case_000_video_part_001/00018300.png	305.0	7	case_000
case_000_video_part_001/00018360.png	306.0	7	case_000
case_000_video_part_001/00018420.png	307.0	7	case_000
case_000_video_part_001/00018480.png	308.0	7	case_000
case_000_video_part_001/00018540.png	309.0	7	case_000
case_000_video_part_001/00018600.png	310.0	7	case_000
case_000_video_part_001/00018660.png	311.0	7	case_000
case_000_video_part_001/00018720.png	312.0	7	case_000
case_000_video_part_001/00018780.png	313.0	7	case_000
case_000_video_part_001/00018840.png	314.0	7	case_000
case_000_video_part_001/00018900.png	315.0	7	case_000
case_000_video_part_001/00018960.png	316.0	7	case_000
case_000_video_part_001/00019020.png	317.0	7	case_000
case_000_video_part_001/00019080.png	318.0	7	case_000
case_000_video_part_001/00019140.png	319.0	7	case_000
case_000_video_part_001/00019200.png	320.0	7	case_000
case_000_video_part_001/00019260.png	321.0	7	case_000
case_000_video_part_001/00019320.png	322.0	7	case_000
case_000_video_part_001/00019380.png	323.0	7	case_000
case_000_video_part_001/00019440.png	324.0	7	case_000
case_000_video_part_001/00019500.png	325.0	7	case_000
case_000_video_part_001/00019560.png	326.0	7	case_000
case_000_video_part_001/00019620.png	327.0	7	case_000
case_000_video_part_001/00019680.png	328.0	7	case_000
case_000_video_part_001/00019740.png	329.0	7	case_000
case_000_video_part_001/00019800.png	330.0	7	case_000
case_000_video_part_001/00019860.png	331.0	7	case_000
case_000_video_part_001/00019920.png	332.0	7	case_000
case_000_video_part_001/00019980.png	333.0	7	case_000
case_000_video_part_001/00020040.png	334.0	7	case_000
case_000_video_part_001/00020100.png	335.0	7	case_000
case_000_video_part_001/00020160.png	336.0	7	case_000
case_000_video_part_001/00020220.png	337.0	7	case_000
case_000_video_part_001/00020280.png	338.0	7	case_000
case_000_video_part_001/00020340.png	339.0	7	case_000
case_000_video_part_001/00020400.png	340.0	7	case_000
case_000_video_part_001/00020460.png	341.0	7	case_000
case_000_video_part_001/00020520.png	342.0	7	case_000
case_000_video_part_001/00020580.png	343.0	7	case_000
case_000_video_part_001/00020640.png	344.0	7	case_000
case_000_video_part_001/00020700.png	345.0	7	case_000
case_000_video_part_001/00020760.png	346.0	7	case_000
case_000_video_part_001/00020820.png	347.0	7	case_000
case_000_video_part_001/00020880.png	348.0	7	case_000
case_000_video_part_001/00020940.png	349.0	7	case_000
case_000_video_part_001/00021000.png	350.0	7	case_000
case_000_video_part_001/00021060.png	351.0	7	case_000
case_000_video_part_001/00021120.png	352.0	7	case_000
case_000_video_part_001/00021180.png	353.0	7	case_000
case_000_video_part_001/00021240.png	354.0	7	case_000
case_000_video_part_001/00021300.png	355.0	7	case_000
case_000_video_part_001/00021360.png	356.0	7	case_000
case_000_video_part_001/00021420.png	357.0	7	case_000
case_000_video_part_001/00021480.png	358.0	7	case_000
case_000_video_part_001/00021540.png	359.0	7	case_000
case_000_video_part_001/00021600.png	360.0	7	case_000
case_000_video_part_001/00021660.png	361.0	7	case_000
case_000_video_part_001/00021720.png	362.0	7	case_000
case_000_video_part_001/00021780.png	363.0	7	case_000
case_000_video_part_001/00021840.png	364.0	7	case_000
case_000_video_part_001/00021900.png	365.0	7	case_000
case_000_video_part_001/00021960.png	366.0	7	case_000
case_000_video_part_001/00022020.png	367.0	7	case_000
case_000_video_part_001/00022080.png	368.0	7	case_000
case_000_video_part_001/00022140.png	369.0	7	case_000
case_000_video_part_001/00022200.png	370.0	7	case_000
case_000_video_part_001/00022260.png	371.0	7	case_000
case_000_video_part_001/00022320.png	372.0	7	case_000
case_000_video_part_001/00022380.png	373.0	7	case_000
case_000_video_part_001/00022440.png	374.0	7	case_000
case_000_video_part_001/00022500.png	375.0	7	case_000
case_000_video_part_001/00022560.png	376.0	7	case_000
case_000_video_part_001/00022620.png	377.0	7	case_000
case_000_video_part_001/00022680.png	378.0	7	case_000
case_000_video_part_001/00022740.png	379.0	7	case_000
case_000_video_part_001/00022800.png	380.0	7	case_000
case_000_video_part_001/00022860.png	381.0	7	case_000
case_000_video_part_001/00022920.png	382.0	7	case_000
case_000_video_part_001/00022980.png	383.0	7	case_000
case_000_video_part_001/00023040.png	384.0	7	case_000
case_000_video_part_001/00023100.png	385.0	7	case_000
case_000_video_part_001/00023160.png	386.0	7	case_000
case_000_video_part_001/00023220.png	387.0	7	case_000
case_000_video_part_001/00023280.png	388.0	7	case_000
case_000_video_part_001/00023340.png	389.0	7	case_000
case_000_video_part_001/00023400.png	390.0	7	case_000
case_000_video_part_001/00023460.png	391.0	7	case_000
case_000_video_part_001/00023520.png	392.0	7	case_000
case_000_video_part_001/00023580.png	393.0	7	case_000
case_000_video_part_001/00023640.png	394.0	7	case_000
case_000_video_part_001/00023700.png	395.0	7	case_000
case_000_video_part_001/00023760.png	396.0	7	case_000
case_000_video_part_001/00023820.png	397.0	7	case_000
case_000_video_part_001/00023880.png	398.0	7	case_000
case_000_video_part_001/00023940.png	399.0	7	case_000
case_000_video_part_001/00024000.png	400.0	7	case_000
case_000_video_part_001/00024060.png	401.0	7	case_000
case_000_video_part_001/00024120.png	402.0	7	case_000
case_000_video_part_001/00024180.png	403.0	7	case_000
case_000_video_part_001/00024240.png	404.0	7	case_000
case_000_video_part_001/00024300.png	405.0	7	case_000
case_000_video_part_001/00024360.png	406.0	7	case_000
case_000_video_part_001/00024420.png	407.0	7	case_000
case_000_video_part_001/00024480.png	408.0	7	case_000
case_000_video_part_001/00024540.png	409.0	7	case_000
case_000_video_part_001/00024600.png	410.0	7	case_000
case_000_video_part_001/00024660.png	411.0	7	case_000
case_000_video_part_001/00024720.png	412.0	7	case_000
case_000_video_part_001/00024780.png	413.0	7	case_000
case_000_video_part_001/00024840.png	414.0	7	case_000
case_000_video_part_001/00024900.png	415.0	7	case_000
case_000_video_part_001/00024960.png	416.0	7	case_000
case_000_video_part_001/00025020.png	417.0	7	case_000
case_000_video_part_001/00025080.png	418.0	7	case_000
case_000_video_part_001/00025140.png	419.0	7	case_000
case_000_video_part_001/00025200.png	420.0	7	case_000
case_000_video_part_001/00025260.png	421.0	7	case_000
case_000_video_part_001/00025320.png	422.0	7	case_000
case_000_video_part_001/00025380.png	423.0	7	case_000
case_000_video_part_001/00025440.png	424.0	7	case_000
case_000_video_part_001/00025500.png	425.0	7	case_000
case_000_video_part_001/00025560.png	426.0	7	case_000
case_000_video_part_001/00025620.png	427.0	7	case_000
case_000_video_part_001/00025680.png	428.0	7	case_000
case_000_video_part_001/00025740.png	429.0	7	case_000
case_000_video_part_001/00025800.png	430.0	7	case_000
case_000_video_part_001/00025860.png	431.0	7	case_000
case_000_video_part_001/00025920.png	432.0	7	case_000
case_000_video_part_001/00025980.png	433.0	7	case_000
case_000_video_part_001/00026040.png	434.0	7	case_000
case_000_video_part_001/00026100.png	435.0	7	case_000
case_000_video_part_001/00026160.png	436.0	7	case_000
case_000_video_part_001/00026220.png	437.0	7	case_000
case_000_video_part_001/00026280.png	438.0	7	case_000
case_000_video_part_001/00026340.png	439.0	7	case_000
case_000_video_part_001/00026400.png	440.0	7	case_000
case_000_video_part_001/00026460.png	441.0	7	case_000
case_000_video_part_001/00026520.png	442.0	7	case_000
case_000_video_part_001/00026580.png	443.0	7	case_000
case_000_video_part_001/00026640.png	444.0	7	case_000
case_000_video_part_001/00026700.png	445.0	7	case_000
case_000_video_part_001/00026760.png	446.0	7	case_000
case_000_video_part_001/00026820.png	447.0	7	case_000
case_000_video_part_001/00026880.png	448.0	7	case_000
case_000_video_part_001/00026940.png	449.0	7	case_000
case_000_video_part_001/00027000.png	450.0	7	case_000
case_000_video_part_001/00027060.png	451.0	7	case_000
case_000_video_part_001/00027120.png	452.0	7	case_000
case_000_video_part_001/00027180.png	453.0	7	case_000
case_000_video_part_001/00027240.png	454.0	7	case_000
case_000_video_part_001/00027300.png	455.0	7	case_000
case_000_video_part_001/00027360.png	456.0	7	case_000
case_000_video_part_001/00027420.png	457.0	7	case_000
case_000_video_part_001/00027480.png	458.0	7	case_000
case_000_video_part_001/00027540.png	459.0	7	case_000
case_000_video_part_001/00027600.png	460.0	7	case_000
case_000_video_part_001/00027660.png	461.0	7	case_000
case_000_video_part_001/00027720.png	462.0	7	case_000
case_000_video_part_001/00027780.png	463.0	7	case_000
case_000_video_part_001/00027840.png	464.0	7	case_000
case_000_video_part_001/00027900.png	465.0	7	case_000
case_000_video_part_001/00027960.png	466.0	7	case_000
case_000_video_part_001/00028020.png	467.0	7	case_000
case_000_video_part_001/00028080.png	468.0	7	case_000
case_000_video_part_001/00028140.png	469.0	7	case_000
case_000_video_part_001/00028200.png	470.0	7	case_000
case_000_video_part_001/00028260.png	471.0	7	case_000
case_000_video_part_001/00028320.png	472.0	7	case_000
case_000_video_part_001/00028380.png	473.0	7	case_000
case_000_video_part_001/00028440.png	474.0	7	case_000
case_000_video_part_001/00028500.png	475.0	7	case_000
case_000_video_part_001/00028560.png	476.0	7	case_000
case_000_video_part_001/00028620.png	477.0	7	case_000
case_000_video_part_001/00028680.png	478.0	7	case_000
case_000_video_part_001/00028740.png	479.0	7	case_000
case_000_video_part_001/00028800.png	480.0	7	case_000
case_000_video_part_001/00028860.png	481.0	7	case_000
case_000_video_part_001/00028920.png	482.0	7	case_000
case_000_video_part_001/00028980.png	483.0	7	case_000
case_000_video_part_001/00029040.png	484.0	7	case_000
case_000_video_part_001/00029100.png	485.0	7	case_000
case_000_video_part_001/00029160.png	486.0	7	case_000
case_000_video_part_001/00029220.png	487.0	7	case_000
case_000_video_part_001/00029280.png	488.0	7	case_000
case_000_video_part_001/00029340.png	489.0	7	case_000
case_000_video_part_001/00029400.png	490.0	7	case_000
case_000_video_part_001/00029460.png	491.0	7	case_000
case_000_video_part_001/00029520.png	492.0	7	case_000
case_000_video_part_001/00029580.png	493.0	7	case_000
case_000_video_part_001/00029640.png	494.0	7	case_000
case_000_video_part_001/00029700.png	495.0	7	case_000
case_000_video_part_001/00029760.png	496.0	7	case_000
case_000_video_part_001/00029820.png	497.0	7	case_000
case_000_video_part_001/00029880.png	498.0	7	case_000
case_000_video_part_001/00029940.png	499.0	7	case_000
case_000_video_part_001/00030000.png	500.0	7	case_000
case_000_video_part_001/00030060.png	501.0	7	case_000
case_000_video_part_001/00030120.png	502.0	7	case_000
case_000_video_part_001/00030180.png	503.0	7	case_000
case_000_video_part_001/00030240.png	504.0	7	case_000
case_000_video_part_001/00030300.png	505.0	7	case_000
case_000_video_part_001/00030360.png	506.0	7	case_000
case_000_video_part_001/00030420.png	507.0	7	case_000
case_000_video_part_001/00030480.png	508.0	7	case_000
case_000_video_part_001/00030540.png	509.0	7	case_000
case_000_video_part_001/00030600.png	510.0	7	case_000
case_000_video_part_001/00030660.png	511.0	7	case_000
case_000_video_part_001/00030720.png	512.0	7	case_000
case_000_video_part_001/00030780.png	513.0	7	case_000
case_000_video_part_001/00030840.png	514.0	7	case_000
case_000_video_part_001/00030900.png	515.0	7	case_000
case_000_video_part_001/00030960.png	516.0	7	case_000
case_000_video_part_001/00031020.png	517.0	7	case_000
case_000_video_part_001/00031080.png	518.0	7	case_000
case_000_video_part_001/00031140.png	519.0	7	case_000
case_000_video_part_001/00031200.png	520.0	7	case_000
case_000_video_part_001/00031260.png	521.0	7	case_000
case_000_video_part_001/00031320.png	522.0	7	case_000
case_000_video_part_001/00031380.png	523.0	7	case_000
case_000_video_part_001/00031440.png	524.0	7	case_000
case_000_video_part_001/00031500.png	525.0	7	case_000
case_000_video_part_001/00031560.png	526.0	7	case_000
case_000_video_part_001/00031620.png	527.0	7	case_000
case_000_video_part_001/00031680.png	528.0	7	case_000
case_000_video_part_001/00031740.png	529.0	7	case_000
case_000_video_part_001/00031800.png	530.0	7	case_000
case_000_video_part_001/00031860.png	531.0	7	case_000
case_000_video_part_001/00031920.png	532.0	7	case_000
case_000_video_part_001/00031980.png	533.0	7	case_000
case_000_video_part_001/00032040.png	534.0	7	case_000
case_000_video_part_001/00032100.png	535.0	7	case_000
case_000_video_part_001/00032160.png	536.0	7	case_000
